age,gender,country,mascu_sec,working,gnorm_executives,gnorm_nurses,competitiveness,risk_tolerance,depression_score,cgi,male,rand
25,Male,USA,0,1,Agree,Agree,7,8,1.75,8,1,.53987968
54,Female,USA,0,1,Agree,Disagree,8,5,3.5,2,0,.67867565
44,Female,USA,0,1,Strongly agree,Agree,7,9,4,2,0,.8665337
56,Male,USA,1,1,Strongly agree,Strongly agree,8,9,1,10,1,.83933485
38,Female,USA,0,1,Strongly agree,Agree,4,4,2,4,0,.98554844
19,Female,USA,,0,Strongly disagree,Strongly agree,9,9,3.5,1,0,.71775597
41,Male,USA,0,1,Agree,Agree,5,8,3,7,1,.87277704
52,Female,USA,,0,,Strongly agree,8,9,1.75,3,0,.90581667
62,Male,USA,,0,Strongly agree,Strongly agree,7,6,2.25,8,1,.63590878
31,Female,USA,0,1,Agree,Strongly agree,9,9,2,3,0,.52224243
34,Male,USA,,0,Strongly agree,Strongly agree,6,7,1.5,8,1,.80628633
28,Female,USA,,0,Strongly agree,Agree,8,3,3.5,0,0,.82622093
60,Male,UK,,0,Strongly agree,Strongly agree,0,1,2,8,1,.68697214
56,Male,UK,0,1,Strongly agree,Strongly agree,7,8,1.75,10,1,.88517082
63,Male,USA,0,1,Strongly agree,Strongly agree,10,8,2.75,7,1,.50635588
58,Female,UK,,0,Strongly agree,Strongly agree,10,5,2,2,0,.93490654
42,Male,USA,0,1,Strongly agree,Strongly agree,8,5,1.75,8,1,.94023281
21,Male,UK,0,1,Disagree,Disagree,7,8,3.5,10,1,.62147075
57,Male,UK,0,1,Agree,Strongly agree,9,7,1.5,9,1,.51832497
60,Female,UK,0,1,Strongly agree,Strongly agree,4,1,4.25,0,0,.66940671
60,Male,UK,,0,Strongly agree,Disagree,2,2,4.5,5,1,.55005121
59,Male,UK,,0,,,6,7,1.25,9,1,.71838963
30,Female,USA,1,1,Agree,Disagree,8,6,2.25,0,0,.51890373
60,Male,UK,0,1,Strongly agree,Strongly agree,8,8,2.5,8,1,.81399739
30,Female,UK,0,1,Strongly agree,Strongly agree,8,8,2,0,0,.57573903
29,Male,UK,0,1,Strongly agree,Agree,2,5,1.5,5,1,.51440793
31,Male,UK,0,1,Strongly disagree,Strongly agree,10,10,1,10,1,.98942232
54,Female,UK,0,1,Agree,Agree,8,8,3.25,5,0,.51384217
58,Female,UK,,0,Strongly agree,Agree,0,5,4.5,0,0,.8130452
60,Male,UK,0,1,Agree,Agree,4,6,2,9,1,.96551698
51,Female,UK,0,1,Strongly agree,Strongly agree,8,10,2.25,1,0,.66731286
50,Male,UK,,0,Agree,Disagree,3,2,4.75,4,1,.55664635
61,Female,USA,0,1,Agree,Strongly agree,8,7,4.25,2,0,.71746612
52,Female,UK,,0,Strongly agree,Strongly agree,3,1,3.75,5,0,.80890828
47,Female,USA,,0,Agree,Agree,0,10,2.5,0,0,.61070114
58,Female,UK,0,1,Strongly agree,Strongly agree,3,4,2,2,0,.72825015
61,Male,UK,1,1,Agree,Agree,0,6,1,7,1,.60580409
64,Female,UK,0,1,Strongly disagree,Agree,7,7,1,0,0,.56371564
56,Female,USA,,0,Strongly agree,Strongly agree,4,1,4.5,0,0,.67555261
48,Male,USA,0,1,Agree,Agree,7,4,3.25,7,1,.55743599
39,Male,UK,0,1,Agree,Disagree,5,7,2.75,6,1,.51968807
30,Male,UK,0,1,Agree,Disagree,8,10,1.5,10,1,.50109792
59,Female,UK,0,1,Strongly agree,Strongly agree,10,6,3.5,0,0,.95083308
29,Male,UK,0,1,Disagree,Agree,8,8,2.25,5,1,.53469688
62,Male,UK,0,1,Strongly agree,Agree,7,4,1.5,6,1,.89750254
35,Female,USA,0,1,Agree,Disagree,7,5,2,2,0,.50088692
42,Male,USA,,0,Strongly agree,Strongly agree,8,6,1.25,10,1,.62119979
55,Female,USA,,0,Strongly agree,Strongly agree,10,5,2,2,0,.99077249
40,Female,USA,0,1,Strongly agree,Strongly agree,10,8,3.75,6,0,.89965785
30,Female,UK,0,1,Strongly agree,Strongly agree,6,8,2,3,0,.5804351
31,Female,UK,0,1,Disagree,,7,7,2.75,4,0,.7255199
46,Male,UK,0,1,Strongly agree,Strongly agree,3,3,2.75,7,1,.99162942
64,Female,UK,0,1,Agree,Strongly agree,10,4,1,4,0,.62814629
